CustomerID,Age,Gender,Country,full name,age group
30,62,"Male","Canada","Bob Johnson","51+"
31,34,"Male","Canada","John Johnson","31-40"
38,56,"Other","Canada","Bob Jones","51+"
44,59,"Other","Canada","David Jones","51+"
75,45,"Male","Canada","Bob Jones","41-50"
81,60,"Male","Canada","John Brown","51+"
97,79,"Male","Canada","Carol Johnson","51+"
98,57,"Male","Canada","Jane Jones","51+"
99,58,"Male","Canada","David Brown","51+"
100,77,"Male","Canada","John Smith","51+"
101,68,"Male","Canada","David Smith","51+"
102,36,"Male","Canada","David Johnson","31-40"
103,53,"Male","Canada","Carol Williams","51+"
104,23,"Male","Canada","David Smith","21-30"
105,72,"Male","Canada","Bob Williams","51+"
106,45,"Male","Canada","Alice Williams","41-50"
107,61,"Male","Canada","John Jones","51+"
108,18,"Male","Canada","David Williams","0-20"
109,67,"Male","Canada","John Jones","51+"
110,36,"Male","Canada","Alice Brown","31-40"
111,66,"Male","Canada","Bob Williams","51+"
112,20,"Male","Canada","John Brown","0-20"
113,53,"Female","Canada","Bob Williams","51+"
114,44,"Male","Canada","Carol Jones","41-50"
115,63,"Male","Canada","John Jones","51+"
122,58,"Other","Canada","Carol Brown","51+"
135,43,"Female","Canada","Carol Johnson","41-50"
136,63,"Female","Canada","Jane Johnson","51+"
137,54,"Other","Canada","John Jones","51+"
138,78,"Other","Canada","Carol Johnson","51+"
139,52,"Male","Canada","Alice Smith","51+"
140,59,"Male","Canada","Alice Johnson","51+"
141,19,"Other","Canada","David Smith","0-20"
142,30,"Other","Canada","John Williams","21-30"
143,77,"Female","Canada","Carol Williams","51+"
144,60,"Female","Canada","Alice Smith","51+"
145,60,"Male","Canada","John Brown","51+"
146,26,"Male","Canada","David Smith","21-30"
147,38,"Male","Canada","Bob Brown","31-40"
148,58,"Other","Canada","Bob Jones","51+"
149,61,"Male","Canada","Bob Jones","51+"
150,18,"Other","Canada","Jane Smith","0-20"
151,37,"Other","Canada","Carol Brown","31-40"
152,66,"Male","Canada","David Williams","51+"
153,22,"Other","Canada","Bob Smith","21-30"
154,29,"Other","Canada","Alice Smith","21-30"
155,60,"Male","Canada","Jane Brown","51+"
156,38,"Male","Canada","Bob Jones","31-40"
157,78,"Male","Canada","John Williams","51+"
158,65,"Male","Canada","Alice Brown","51+"
159,56,"Female","Canada","Jane Brown","51+"
160,40,"Female","Canada","Jane Williams","31-40"
161,25,"Female","Canada","Alice Smith","21-30"
162,39,"Male","Canada","Bob Smith","31-40"
163,43,"Female","Canada","David Johnson","41-50"
164,36,"Male","Canada","David Williams","31-40"
165,74,"Female","Canada","John Brown","51+"
166,32,"Other","Canada","John Johnson","31-40"
167,54,"Male","Canada","David Johnson","51+"
168,58,"Female","Canada","David Johnson","51+"
169,38,"Female","Canada","John Smith","31-40"
170,68,"Male","Canada","Jane Jones","51+"
171,30,"Other","Canada","Bob Johnson","21-30"
172,24,"Female","Canada","David Brown","21-30"
173,42,"Male","Canada","David Smith","41-50"
174,50,"Female","Canada","Alice Jones","41-50"
175,20,"Other","Canada","Carol Jones","0-20"
176,56,"Male","Canada","John Johnson","51+"
177,49,"Female","Canada","Alice Johnson","41-50"
178,58,"Female","Canada","David Smith","51+"
179,53,"Male","Canada","David Johnson","51+"
180,70,"Other","Canada","Alice Smith","51+"
181,57,"Female","Canada","David Jones","51+"
182,69,"Other","Canada","John Brown","51+"
183,67,"Male","Canada","Carol Brown","51+"
184,40,"Female","Canada","Jane Williams","31-40"
185,19,"Female","Canada","Jane Williams","0-20"
186,49,"Other","Canada","Bob Williams","41-50"
187,63,"Other","Canada","David Brown","51+"
188,23,"Other","Canada","Jane Johnson","21-30"
189,24,"Male","Canada","Alice Smith","21-30"
190,73,"Other","Canada","Jane Brown","51+"
191,38,"Female","Canada","Bob Williams","31-40"
192,50,"Male","Canada","Alice Williams","41-50"
194,20,"Male","Canada","Carol Williams","0-20"
198,39,"Male","Canada","John Jones","31-40"
1,76,"Male","Australia","Bob Smith","51+"
2,56,"Male","Australia","Bob Johnson","51+"
3,74,"Female","Australia","Bob Smith","51+"
4,54,"Male","Australia","David Jones","51+"
5,51,"Male","Australia","John Johnson","51+"
6,67,"Male","Australia","John Brown","51+"
7,45,"Male","Australia","Alice Brown","41-50"
8,31,"Female","Australia","Jane Johnson","31-40"
9,69,"Female","Australia","Alice Brown","51+"
10,75,"Male","Australia","Bob Williams","51+"
11,45,"Male","Australia","Bob Brown","41-50"
12,47,"Male","Australia","Bob Jones","41-50"
13,47,"Male","Australia","Alice Jones","41-50"
14,74,"Male","Australia","Jane Johnson","51+"
15,44,"Male","Australia","Jane Brown","41-50"
16,19,"Male","Australia","Alice Johnson","0-20"
17,54,"Male","Australia","David Smith","51+"
18,30,"Male","Australia","Bob Williams","21-30"
19,56,"Female","United States","Alice Johnson","51+"
20,59,"Female","Germany","Alice Johnson","51+"
21,45,"Other","Germany","Carol Johnson","41-50"
22,37,"Female","Australia","Carol Johnson","31-40"
23,56,"Male","United Kingdom","John Jones","51+"
24,72,"Male","United States","John Williams","51+"
25,67,"Female","France","Alice Smith","51+"
26,35,"Male","Australia","Carol Williams","31-40"
27,51,"Male","France","Bob Johnson","51+"
28,74,"Male","United States","John Jones","51+"
29,65,"Male","United States","Bob Smith","51+"
32,55,"Other","Australia","David Brown","51+"
33,40,"Female","Australia","Alice Williams","31-40"
34,48,"Other","France","Carol Williams","41-50"
35,26,"Male","Australia","John Williams","21-30"
36,52,"Other","United States","Jane Brown","51+"
37,42,"Other","Germany","Jane Jones","41-50"
39,47,"Female","France","Jane Jones","41-50"
40,22,"Male","France","Bob Smith","21-30"
41,45,"Other","France","David Brown","41-50"
42,70,"Female","Germany","David Brown","51+"
43,24,"Other","United Kingdom","David Jones","21-30"
45,71,"Male","France","David Jones","51+"
46,73,"Female","United Kingdom","Carol Brown","51+"
47,59,"Other","United Kingdom","John Jones","51+"
48,59,"Male","Australia","John Williams","51+"
49,74,"Male","France","Carol Jones","51+"
50,55,"Male","United States","Bob Williams","51+"
51,36,"Female","Germany","David Johnson","31-40"
52,77,"Female","France","Alice Johnson","51+"
53,42,"Female","United Kingdom","Jane Brown","41-50"
54,35,"Female","France","David Smith","31-40"
55,70,"Female","Australia","Carol Johnson","51+"
56,64,"Female","Australia","Jane Brown","51+"
57,43,"Female","Australia","Alice Brown","41-50"
58,62,"Female","Australia","Bob Williams","51+"
59,37,"Female","Australia","David Williams","31-40"
60,19,"Female","Australia","Jane Jones","0-20"
61,47,"Female","Australia","Bob Johnson","41-50"
